seller,product_count,avg_rate,total_reviews
ارایشی مولان,241,68.99585062240664,9683
آرشا گیم شاپ,144,68.98611111111111,2711
باهر شاپ,145,68.96551724137932,9426
نورایش,27,68.96296296296296,588
رویاهای مدادی ,27,68.96296296296296,575
چتر آبی,27,68.96296296296296,382
فرش آبی,55,68.9090909090909,881
ارسال,67,68.86567164179104,2050
گالری هنری اقاقیا,53,68.79245283018868,1184
آرانا مد,33,68.78787878787878,1890
ماه بوک,64,68.78125,11654
سپهر ایران,35,68.74285714285715,3772
رویال واچ سنتر,350,68.73714285714286,15206
آیریا اسپرت,84,68.71428571428571,5321
بازرگانی آرایشی ایمان,23,68.69565217391305,7473
هلث مد,81,68.69135802469135,7258
پرتی,510,68.67450980392157,12424
انتشارات اندیشه کهن,92,68.6304347826087,9069
انتشارات نرم افزاری افرند,61,68.62295081967213,646
ارشان طب,30,68.6,307
فرازین گستر,75,68.58666666666667,788
میر تحریر,41,68.58536585365853,627
فروشگاه ایرسا,44,68.54545454545455,4377
فروشگاه رخسار سلامت,30,68.53333333333333,1869
کفش آریایی,75,68.53333333333333,9792
زیبایی ژانین,34,68.52941176470588,490
تیکو پلاس,35,68.51428571428572,1791
شهریار تویز,44,68.5,2864
پینک لیدی,161,68.45962732919254,7414
فروشگاه جوی واتر,156,68.43589743589743,6865
کالا پایتخت,47,68.42553191489361,733
اکسون نوین,353,68.41359773371104,31225
شاهدخت ایرانی,96,68.39583333333333,1453
فروشگاه مهردارو,26,68.38461538461539,6886
سفیاه,142,68.38028169014085,3273
افق استور,41,68.34146341463415,294
نازپا,73,68.32876712328768,2674
ناب ترین کالا,503,68.30616302186878,13240
بازرگانی فراک,53,68.26415094339623,2946
ترنم,57,68.24561403508773,1617
سوغات کرمان بیجاری,49,68.24489795918367,899
آیریک مارکت,50,68.24,1123
